"Indicator","Year","Geography","Sex","AgeGroup","Location","Value","Unit","Source","DataType"
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Female","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Female","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Female","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Female","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Female","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Female","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Female","Not Available","Not Available","0.54","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Both Sexes","Not Available","Not Available","0.61","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Male","Not Available","Not Available","0.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Male","Not Available","Not Available","0.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Male","Not Available","Not Available","0.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Male","Not Available","Not Available","0.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Male","Not Available","Not Available","0.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Male","Not Available","Not Available","0.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Male","Not Available","Not Available","0.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2005","Albania","Male","Not Available","Not Available","0.68","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Male","Not Available","Not Available","0.59","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Male","Not Available","Not Available","0.59","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Male","Not Available","Not Available","0.59","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Male","Not Available","Not Available","0.59","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Male","Not Available","Not Available","0.59","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Male","Not Available","Not Available","0.59","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Male","Not Available","Not Available","0.59","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Male","Not Available","Not Available","0.59","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Both Sexes","Not Available","Not Available","0.51","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Both Sexes","Not Available","Not Available","0.51","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Both Sexes","Not Available","Not Available","0.51","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Both Sexes","Not Available","Not Available","0.51","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Both Sexes","Not Available","Not Available","0.51","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Both Sexes","Not Available","Not Available","0.51","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Both Sexes","Not Available","Not Available","0.51","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Both Sexes","Not Available","Not Available","0.51","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Female","Not Available","Not Available","0.44","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Female","Not Available","Not Available","0.44","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Female","Not Available","Not Available","0.44","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Female","Not Available","Not Available","0.44","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Female","Not Available","Not Available","0.44","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Female","Not Available","Not Available","0.44","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Female","Not Available","Not Available","0.44","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2010","Albania","Female","Not Available","Not Available","0.44","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Both Sexes","Not Available","Not Available","0.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Both Sexes","Not Available","Not Available","0.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Both Sexes","Not Available","Not Available","0.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Both Sexes","Not Available","Not Available","0.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Both Sexes","Not Available","Not Available","0.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Both Sexes","Not Available","Not Available","0.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Both Sexes","Not Available","Not Available","0.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Both Sexes","Not Available","Not Available","0.43","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Female","Not Available","Not Available","0.37","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Female","Not Available","Not Available","0.37","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Female","Not Available","Not Available","0.37","Rate (per 100,000 population)","Global Health Observatory",""
"Mortality rate from unintentional poisoning (per 100 000 population)","2015","Albania","Female","Not Available","Not Available","0.37","Rate (per 100,000 population)","Global Health Observatory",""
